Винегрет овощной,100,1 руб 04 коп,,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Гавайский""",100,2 руб 47 коп,,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Салат из помидор и огурцов со сметаной,100,1 руб 32 коп,,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Суп картофельный с рыбными фрикадельками,250/30,1 руб 45 коп,Супы,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Щи из свежей капусты,250/20,1 руб 36 коп,Супы,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
"Запеканка капустная(капуста,яйцо,сухари,сметана)",150,1 руб 70 коп,Вторые блюда,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Тефтели,115/75,3 руб 78 коп,Вторые блюда,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Мясо по-французски,100,4 руб,Вторые блюда,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Филе птицы в сыре,100,2 руб 51 коп,Вторые блюда,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Рыба хек жареная,100,4 руб 03 коп,Вторые блюда,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Гречка отварная,200,88 коп,Гарниры,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Каша пшенная,200,86 коп,Гарниры,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Картофель отварной,200,80 коп,Гарниры,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Брокколи,150,2 руб 10 коп,Гарниры,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Горчица,25,45 коп,Соусы,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Сметана,50,50 коп,Соусы,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
